sample_id,simulation_mode,candidate_rank,source,source_case_id,geometry_valid,geometry_error,final_conductor_components,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3
prop_01_rank_01,propagation_s21,1,msabp-krvea-11var-calibrated-64-003,krvea_0025,True,,1,55.467801872977837,2,6.070509215502609,2.386908560435876,2,15.295590741375197,4,0.62157145659648205,0.98883343142714519,0.42077703634555191,0.021354281812140101,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.33775257348255783,0.8452634515199432,0.43541036751029161,0.5,0.5,0
prop_02_rank_04,propagation_s21,4,msabp-krvea-11var-stage2-learned-64-006,krvea_0038,True,,1,53.658524586090991,2,5.9392614821126708,2.3754245697899727,2,14.011403985745789,4,0.60736609033389644,0.9998535555603284,0.43273740738249711,0.00090632459731050002,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.40162338183605872,0.90072250084354999,0.37722717740809147,0.5,0.5,0
prop_03_rank_08,propagation_s21,8,msabp-krvea-11var-deep-64-004,krvea_0037,True,,1,53.494171717879325,2,6.0696792184218014,2.35762609706648,2,15.390705859083001,4,0.60526514510318663,0.97940763276323684,0.41574506853992749,0.0215512662820933,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.3359550336076495,0.84659319126689991,0.41506588980949988,0.5,0.5,0
prop_04_rank_10,propagation_s21,10,msabp-krvea-11var-deep-64-005,krvea_0012,True,,1,53.675413772364365,2,6.0431778450241769,2.3582952436461602,2,13.528172426586227,4,0.60551941014823973,0.99907894346233883,0.432417014071727,0.00013343247219820001,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.3293918233675201,0.90190042748409882,0.3878695524609031,0.5,0.5,0
prop_05_rank_18,propagation_s21,18,msabp-krvea-11var-calibrated-64-002,krvea_0052,True,,1,53.329225795188009,2,6.0711847841903603,2.3580473167820402,2,15.382001969261999,4,0.60520528998953327,0.96299390030757115,0.42076957182295288,0.021362924631599899,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.35083662375172092,0.84659319126689991,0.41506588980949988,0.5,0.5,0
prop_06_rank_19,propagation_s21,19,msabp-krvea-11var-calibrated-64-002,krvea_0058,True,,1,53.329225795189203,2,6.0711847841904003,2.3580473167820402,2,15.135258868803575,4,0.60520528998961798,0.96299390030770005,0.42076957182295288,0.021362924631599899,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.37529310305089042,0.84659319126689991,0.41506588980949988,0.5,0.5,0
prop_07_rank_20,propagation_s21,20,msabp-krvea-11var-calibrated-64-002,krvea_0020,True,,1,53.221106915905999,2,6.0556957869336001,2.358996568868589,2,15.418378002947172,4,0.63716473016808761,0.90918008246359083,0.4240764457515887,0.021362924631599899,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.44934788432221018,0.84109059492415417,0.38430908909169742,0.5,0.5,0
prop_08_rank_23,propagation_s21,23,msabp-krvea-11var-deep-64-005,krvea_0021,True,,1,53.64464015849083,2,6.0164216097436451,2.3681622999130014,2,13.502345879652458,4,0.58230708987396773,0.9934460789985512,0.42908361634837272,0.00013380198049560001,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.4002183403838761,0.90072250084329675,0.38445757989211288,0.5,0.5,0
prop_09_rank_30,propagation_s21,30,doe-11var-branch-up-lhs-512-001,207,True,,1,50.123054393065786,2,6.5093960340428083,2.4351531022514799,2,13.774192765453073,4,0.60619764470195492,0.85230330825433098,0.37173104919391131,0.15284333599394731,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.4511783496892281,0.99570649702362424,0.056015672322332899,0.5,0.5,0
prop_10_rank_31,propagation_s21,31,doe-11var-branch-up-lhs-512-001,277,True,,1,50.526472856314847,2,5.5300676618915139,2.8590810610614454,2,13.939730333926333,4,0.52716643190749835,0.80816882855936056,0.47115727643594502,0.19821807291532559,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.44930557742840022,0.81465218590983601,0.10397581662106441,0.5,0.5,0
