sample_id,simulation_mode,selection_rank,acquisition_type,acquisition_rank_within_type,selection_reason,source,source_case_id,source_ffs_sha256,geometry_valid,geometry_error,final_conductor_components,return_loss_db,predicted_s21_power,predicted_ebn0_db,uncertainty_log10_s21_power,uncertainty_negative_ebn0_db,old_roi_metric_linear,new_roi_metric_linear,roi_rank_disagreement,link_rank_disagreement,three_objective_nondominated,SLOT_MAIN_LENGTH,SLOT_MAIN_HEIGHT,PATCH_BRICK_1_SIDE_MARGIN,PATCH_BRICK_1_TOP_MARGIN,PATCH_BRICK_3_BOTTOM_MARGIN,PATCH_BRICK_2_HEIGHT_MARGIN,PATCH_BRICK_4_MARGIN,UPPER_CORNER_NOTCH_1_K1,UPPER_CORNER_NOTCH_1_K2,UPPER_CORNER_EAR_1_K1,UPPER_CORNER_EAR_1_K2,LOWER_CORNER_NOTCH_1_K1,LOWER_CORNER_NOTCH_1_K2,LOWER_CORNER_EAR_1_K1,LOWER_CORNER_EAR_1_K2,LOWER_CORNER_EAR_2_K1,LOWER_CORNER_EAR_2_K2,BRANCH_UP_1_K,BRANCH_UP_1_K2,BRANCH_UP_1_K3,BRANCH_DOWN_1_K,BRANCH_DOWN_1_K2,BRANCH_DOWN_1_K3
al02_roi_01,propagation_s21,1,roi_disagreement,1,maximum frozen-old versus refitted-new ROI rank disagreement,msabp-krvea-11var-stage2-learned-64-006,krvea_0056,990ad2e8ddb3f2b577ba5bb130e0defbee06059d9e894cfe3f06fae786930302,True,,1,8.583011840739573,9.5268636356928357e-05,56.449159313564344,0.021288713165160098,0.29033845523241436,0.37681084228548573,0.12852504751294469,0.15873015873015878,0.015873015873015872,False,53.329225795189203,2,6.0783101009769975,2.3400021266322706,2,15.275487665504278,4,0.63920524702386672,0.97700404105569993,0.43361603800978687,0.012179956159630597,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.34399954648764208,0.83356357357996247,0.41294247686118812,0.5,0.5,0
al02_roi_02,propagation_s21,2,roi_disagreement,2,maximum frozen-old versus refitted-new ROI rank disagreement,msabp-krvea-11var-deep-64-004,krvea_0031,33f3ed8b98611e2dd5b629d6a4ba4c6a5ac535d70779e8c9efca5e208edb7d61,True,,1,8.2991779191941255,0.00010507568239981057,55.236682437846042,0.027971530374752179,0.34504164947969918,0.37662871099812473,0.13259652122160229,0.26984126984126988,0.095238095238095233,False,53.329225795189203,2,6.0711847841904003,2.3572436141650339,2,15.505194613873503,4,0.62124766634329642,0.97701695170938785,0.42123722153377657,0.050984419745076275,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.42753046505582121,0.84659319126689991,0.42861710159836447,0.5,0.5,0
al02_roi_03,propagation_s21,3,roi_disagreement,3,maximum frozen-old versus refitted-new ROI rank disagreement,msabp-krvea-11var-stage2-learned-64-006,krvea_0012,7aedaaeb05eaec0f33d78be9c4b55fc1be0145b0cbe53582f84fb558d412efac,True,,1,8.5728036000000003,4.8585174845793066e-05,60.060392314591276,0.033577662863173929,0.30401056513951541,0.26215258746044839,0.088565317724306106,0.15873015873015872,0.1111111111111111,False,54.63828568693053,2,6.0868852199359331,2.3761162211681812,2,13.53048834891659,4,0.5997380309142093,0.99997360180252359,0.42522090620005293,0.02480014995368492,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.3937325384819797,0.98912104500845965,0.39550876132385576,0.5,0.5,0
al02_roi_04,propagation_s21,4,roi_disagreement,4,maximum frozen-old versus refitted-new ROI rank disagreement,msabp-krvea-11var-calibrated-64-003,krvea_0042,f65247f9067dfa0d622a44af146752b3536e84ef60240676a094e69d19206577,True,,1,8.6471893861470264,0.00013313546337084803,54.476336259651248,0.02792431619294173,0.29042535790464979,0.40734323803336259,0.1328115587781924,0.15873015873015872,0.19047619047619047,False,53.370379539671241,2,6.0711847841904003,2.3582412536704305,2,15.440145474214575,4,0.604923586464164,0.97700404105569993,0.41885681651477358,0.019056144804046729,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.33258178462886107,0.84550592056927609,0.41506588980949999,0.5,0.5,0
al02_link_01,propagation_s21,5,link_disagreement,1,maximum predicted September-S21 versus BER-v2 rank disagreement,doe-11var-branch-up-lhs-512-001,374,60df291ae6bd1d24a458a7f96c8c932a4a5a0962224d3c61fc7a3a9302c1bfcd,True,,1,8.1889585000000018,0.00018051026904214023,55.238405507206984,0.033857047733224538,0.42645450516245142,1.0702273602010413,0.1472790104558743,0.047619047619047672,0.26984126984126977,False,55.997498295134271,2,5.8676824591384262,2.6827466970699612,2,14.438556087288653,4,0.6848632359427993,0.87495574225269002,0.26840499544473478,0.094927507527303417,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.46088927991630485,0.79593644942009167,0.35572764259119333,0.5,0.5,0
al02_link_02,propagation_s21,6,link_disagreement,2,maximum predicted September-S21 versus BER-v2 rank disagreement,msabp-krvea-11var-deep-64-005,krvea_0046,9192a77526086ab1d3303085817910ff93f583e0d51ccdccc7a1a37d35c385e3,True,,1,7.1767583152424219,4.3441216796728247e-05,59.52047688454671,0.029524421216969892,0.40329474407135102,0.1473472682111106,0.087945400617519001,0.047619047619047616,0.12698412698412698,False,53.6446401584952,2,5.956599179886215,2.3681677255034077,2,13.500181360979534,4,0.56906514741684333,0.99869974754091162,0.42791440434437533,7.1803429540103807e-05,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.39169086671307879,0.89779130495344817,0.40177551761897123,0.5,0.5,0
al02_link_03,propagation_s21,7,link_disagreement,3,maximum predicted September-S21 versus BER-v2 rank disagreement,msabp-krvea-11var-stage2-learned-64-006,krvea_0009,97c101697e2bc50190e58f152f3b898cdd2571d031ee149f1fe290045d078aa9,True,,1,7.859896116952517,7.5399498512898118e-05,56.723179091524209,0.020579536190926746,0.30005226746481811,0.2827664833962204,0.1226011055744862,0.079365079365079361,0.095238095238095233,False,53.390485804506525,2,6.0708846126456306,2.3761854591930001,2,15.357405961068,4,0.60139359177628837,0.98874412108547338,0.43973564925646091,0.0010499119169136075,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.39311195557482376,0.99991768917470003,0.3992188709785216,0.5,0.5,0
al02_link_04,propagation_s21,8,link_disagreement,4,maximum predicted September-S21 versus BER-v2 rank disagreement,msabp-krvea-11var-deep-64-005,krvea_0044,5b8fa260c926438c386313736e92409bc7cab16dd09fbd1ab604094c8d221b4d,True,,1,8.3413196675377694,9.2529448767491532e-05,56.406707544116415,0.01782388041910591,0.21830517241707717,0.38421933678198739,0.1257391070896626,0.047619047619047616,0.063492063492063544,False,53.404515677826055,2,6.0577061167473669,2.3709811732702644,2,15.371560925207321,4,0.6055148625258181,0.97947700600073651,0.41772449590768157,0.037532297201595989,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.32277378733631301,0.95751891528079858,0.42045373742337699,0.5,0.5,0
al02_unc_01,propagation_s21,9,uncertainty,1,bootstrap uncertainty plus distance from prior propagation labels,msabp-krvea-11var-stage2-learned-64-006,krvea_0028,bb5b54a244f45686658d32e6dcca8ff5fc7f9da4063627f12cf32b68a0f03353,True,,1,8.5024454000000009,4.1407954108947371e-05,60.741474001152902,0.031120044759930347,0.37517870230759409,0.15068784322804779,0.086297828253455694,0.047619047619047616,0,False,53.6408635969294,2,5.9231533801167497,2.3401227575836168,2,13.502345703489,4,0.62401929248744992,0.98725077794036808,0.41345560648240642,7.0060250700000002e-05,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.41165387875537202,0.97146197976051862,0.38445757989234997,0.5,0.5,0
al02_unc_02,propagation_s21,10,uncertainty,2,bootstrap uncertainty plus distance from prior propagation labels,doe-11var-branch-up-lhs-512-001,265,7143c9d2daae4d7cf9c8b3730d3f59a7bdd95a895cb8caaca9c155f607478db1,True,,1,8.191892320283598,0.00021683479056589433,52.84720989262037,0.030290255482102377,0.26482511952529664,0.92130774920381964,0.1480525267135869,0.031746031746031744,0.015873015873015817,False,51.926406174163198,2,6.3463620883865381,2.8081894107666487,2,15.132500533506512,4,0.67876022715211071,0.93814201892840721,0.46061695041230855,0.29742852197188296,0.77454545454545454,0.70588235294117652,0.23474178403755869,0.66666666666666663,0.24539877300613497,0.25,0.56283989684023739,0.95645401031246102,0.41303518697037667,0.5,0.5,0
